restaurant_id,restaurant_name,city,area,cuisines,avg_cost_for_two,rating,total_ratings,has_online_delivery,has_table_booking,opening_date,is_active
231,Swad Kitchen,Coimbatore,Saibaba Colony,"South Indian, Gujarati",300,4.3,2128,Yes,No,2018-12-23,Yes
232,Saravana Kitchen,Hyderabad,Hitech City,"Hyderabadi, Street Food",600,3.2,4541,Yes,No,2016-12-26,Yes
233,Ghar Ka Bites,Indore,Vijay Nagar,"Seafood, Mughlai, Pizza",150,4.7,3464,Yes,No,2022-03-06,Yes
234,Swaad Palace,Surat,Ring Road,"Bengali, North Indian, Fast Food",700,3.3,540,No,Yes,2020-01-30,Yes
235,Punjabi Tadka,Vadodara,Sama,Mughlai,800,4.4,3341,Yes,No,2018-12-27,No
236,Dawat Hub,Chennai,Anna Nagar,"Hyderabadi, Seafood",1200,3.8,346,No,Yes,2020-12-21,Yes
237,Desi Bites,Surat,Udhna,"Gujarati, Chinese, Bengali",800,4.6,740,Yes,Yes,2015-04-01,Yes
238,Grand Hub,Hyderabad,Madhapur,"Chettinad, Mughlai",1200,3.5,1915,Yes,No,2017-04-17,Yes
239,Shahi Hub,Mumbai,Juhu,Fast Food,700,3.8,3291,Yes,No,2018-08-08,Yes
240,Star Palace,Pune,Hinjewadi,"Punjabi, Italian",200,4.0,3523,Yes,No,2017-12-09,Yes
241,Rasoi Dhaba,Kolkata,Ballygunge,"Bengali, Seafood, Chinese",1500,4.4,545,Yes,No,2020-04-09,Yes
242,Swagat Kitchen,Visakhapatnam,Steel Plant,"Hyderabadi, North Indian, Seafood",700,2.9,2234,Yes,No,2020-03-06,Yes
243,Classic Bistro,Kochi,Tripunithura,Burgers,250,4.8,3094,Yes,No,2021-12-24,Yes
244,Bhavan Hub,Visakhapatnam,Steel Plant,"Gujarati, Seafood, Hyderabadi",350,4.8,3132,Yes,No,2019-12-09,Yes
245,Swagat Palace,Chandigarh,Sector 35,"South Indian, Continental",800,2.8,4917,Yes,Yes,2016-05-23,Yes
246,Amantran Tadka,Indore,AB Road,"South Indian, Desserts, Continental",600,2.7,516,Yes,No,2015-10-16,No
247,Masala Diner,Vadodara,Akota,"Street Food, Bengali",1000,2.8,4226,Yes,No,2022-12-15,Yes
248,Udupi Eatery,Visakhapatnam,Dwaraka Nagar,South Indian,800,4.1,4699,Yes,Yes,2015-04-12,Yes
249,Rasoi Corner,Bhopal,Kolar Road,Pizza,500,4.2,2254,No,No,2019-03-22,Yes
250,Zaika Diner,Kochi,MG Road,"Mughlai, North Indian",400,3.6,2993,No,No,2018-06-26,Yes
251,Swagat Bites,Vadodara,Alkapuri,"Burgers, Street Food",1500,3.8,4995,Yes,No,2017-02-26,Yes
252,Rasoi Tadka,Ahmedabad,Vastrapur,"Italian, Mughlai",400,4.3,453,Yes,No,2019-09-12,Yes
253,Annapurna Hub,Visakhapatnam,Steel Plant,North Indian,1000,3.6,1539,Yes,Yes,2022-10-16,Yes
254,Ghar Ka Bites,Lucknow,Gomti Nagar,"Punjabi, Chettinad",500,2.8,2598,Yes,No,2018-06-26,Yes
255,Shahi Palace,Hyderabad,Banjara Hills,"Continental, Chinese, Desserts",350,3.8,4245,No,Yes,2020-08-23,Yes
256,Punjabi Eatery,Vadodara,Alkapuri,"Kerala, Seafood, Punjabi",600,5.0,1057,Yes,Yes,2022-12-22,Yes
257,Grand Express,Coimbatore,Singanallur,"North Indian, Fast Food",250,5.0,3356,Yes,Yes,2020-01-02,Yes
258,Maa Ki Bistro,Bengaluru,Indiranagar,South Indian,700,3.1,3931,Yes,Yes,2017-04-15,Yes
259,Maa Ki Tadka,Indore,Rajwada,"South Indian, Rajasthani, Hyderabadi",1000,2.9,2178,Yes,No,2018-12-06,Yes
260,Amantran Hub,Hyderabad,Madhapur,"Burgers, Fast Food, Desserts",150,2.6,3526,Yes,No,2018-01-04,Yes
261,Zaika Cafe,Lucknow,Aliganj,Chinese,250,4.9,1272,No,No,2016-04-01,No
262,Swad Restaurant,Visakhapatnam,Rushikonda,"Rajasthani, Seafood",300,4.2,1372,No,Yes,2017-04-24,Yes
263,Haveli Tadka,Kolkata,Howrah,"Mughlai, Chinese, Punjabi",1200,2.5,4457,Yes,Yes,2018-12-19,No
264,New Kitchen,Surat,Vesu,"Burgers, Biryani",500,4.0,1890,Yes,No,2015-05-16,No
265,Rasoi Hub,Bhopal,Arera Colony,"Street Food, Pizza",150,4.6,860,Yes,No,2015-02-18,Yes
266,Dawat Garden,Mysuru,Hebbal,"Chinese, Bengali, Desserts",350,3.1,2954,Yes,No,2016-12-06,Yes
267,Masala Express,Delhi,Rohini,"Chinese, Punjabi, Biryani",1200,4.5,887,Yes,No,2020-01-19,Yes
268,Punjabi Cafe,Ahmedabad,Maninagar,"Rajasthani, Kerala, Gujarati",350,4.7,3172,No,No,2022-05-31,No
269,Grand Kitchen,Bhopal,Arera Colony,"Burgers, Punjabi",1200,2.8,3936,Yes,No,2021-06-28,Yes
270,Udupi Hub,Chennai,Adyar,Chinese,700,4.4,3133,Yes,Yes,2021-09-16,Yes
271,New Hub,Chennai,T Nagar,"Rajasthani, Mughlai, Kerala",300,3.9,855,Yes,Yes,2017-08-22,No
272,Udupi Corner,Nagpur,Dharampeth,"Biryani, Mughlai, Kerala",150,4.3,4573,Yes,Yes,2020-10-09,Yes
273,New Bistro,Hyderabad,Banjara Hills,Mughlai,250,4.7,143,Yes,No,2017-07-31,No
274,Saravana Tadka,Surat,Udhna,South Indian,700,4.6,4899,No,No,2015-05-03,Yes
275,Haveli Restaurant,Hyderabad,Banjara Hills,"Biryani, Desserts",1500,2.7,515,Yes,No,2019-04-21,Yes
276,Ruchi Restaurant,Chandigarh,Sector 22,"Kerala, South Indian, Punjabi",500,4.5,4518,Yes,Yes,2018-02-05,Yes
277,Classic Point,Lucknow,Aliganj,"Continental, South Indian, North Indian",1200,4.4,148,No,No,2017-03-24,Yes
278,New Palace,Mumbai,Juhu,"Gujarati, Seafood",200,3.3,387,No,No,2019-11-28,Yes
279,Golden Restaurant,Kochi,Kakkanad,Seafood,350,4.7,749,Yes,No,2019-02-28,Yes
280,Zaika Bistro,Mysuru,Gokulam,"Chettinad, Gujarati",1500,4.0,353,Yes,No,2018-01-06,No
281,Saravana House,Kolkata,New Town,"Hyderabadi, Italian",700,4.3,4635,No,Yes,2019-03-28,Yes
282,Highway Dhaba,Visakhapatnam,Rushikonda,"Street Food, Hyderabadi, Bengali",700,3.8,4644,Yes,No,2021-04-04,No
283,Golden Express,Nagpur,Itwari,Desserts,500,3.0,3725,Yes,No,2021-08-19,Yes
284,Amantran Hub,Surat,Adajan,North Indian,250,3.6,2946,No,No,2015-12-23,No
285,New Corner,Coimbatore,Singanallur,"North Indian, Pizza",700,4.6,4692,Yes,Yes,2015-11-19,Yes
286,Zaika Point,Mysuru,Chamundi Hill,Rajasthani,600,3.2,749,Yes,No,2020-06-16,Yes
287,Shahi Restaurant,Surat,Ring Road,Hyderabadi,1500,4.6,4527,Yes,No,2022-07-19,Yes
288,Udupi Cafe,Visakhapatnam,Steel Plant,"Fast Food, Mughlai",250,4.0,3921,Yes,No,2016-10-28,No
289,Royal Palace,Bengaluru,HSR Layout,"Desserts, Fast Food, Italian",700,3.4,2415,Yes,No,2016-03-07,Yes
290,Ghar Ka Cafe,Chandigarh,Sector 43,Gujarati,250,4.6,3017,No,Yes,2016-08-02,No
291,Royal Restaurant,Mumbai,Kurla,"Seafood, Street Food, Burgers",350,4.9,3773,Yes,Yes,2019-08-07,Yes
292,Shahi Corner,Jaipur,Raja Park,"Chettinad, Burgers, Fast Food",150,2.7,4271,Yes,Yes,2015-01-21,Yes
293,Golden Cafe,Mysuru,Jayalakshmipuram,"Chinese, Seafood",1500,4.4,61,No,Yes,2021-01-30,Yes
294,Ruchi Kitchen,Indore,Rajwada,Continental,400,4.9,1468,No,Yes,2021-06-10,Yes
295,Saravana Restaurant,Chandigarh,Sector 22,"South Indian, Desserts, Street Food",150,4.6,1125,Yes,Yes,2019-12-10,Yes
296,Highway Diner,Mysuru,VV Mohalla,"Burgers, North Indian, Gujarati",350,4.8,719,Yes,No,2020-06-04,Yes
297,Highway Cafe,Lucknow,Gomti Nagar,"Kerala, Rajasthani, Bengali",700,3.9,3386,Yes,Yes,2021-08-26,No
298,Biryani Bros Bistro,Jaipur,C-Scheme,"Chinese, Kerala",600,3.0,2556,Yes,Yes,2016-08-01,Yes
299,Zaika Kitchen,Delhi,Karol Bagh,Desserts,1000,4.0,1826,Yes,Yes,2021-04-18,Yes
300,Grand Express,Lucknow,Gomti Nagar,"Fast Food, Kerala",400,4.7,1250,No,No,2017-09-18,Yes
301,Haveli Diner,Surat,Pal,Bengali,300,4.0,1804,Yes,No,2020-01-09,No
302,Haveli Garden,Bhopal,Arera Colony,Burgers,500,4.8,2450,No,Yes,2017-07-22,No
303,Zaika Kitchen,Delhi,Karol Bagh,"Rajasthani, Fast Food",150,3.5,3688,Yes,No,2022-11-26,Yes
304,Shahi House,Indore,Bhawarkuan,"Mughlai, North Indian, South Indian",400,4.8,2668,Yes,Yes,2021-01-24,Yes
305,Swad Bistro,Lucknow,Hazratganj,Continental,200,3.7,4167,No,Yes,2015-12-08,No
306,Zaika Garden,Mumbai,Andheri,"Rajasthani, Seafood, South Indian",1200,2.9,204,No,No,2022-09-13,No
307,Zaika Palace,Indore,AB Road,"Chinese, Mughlai, North Indian",1000,2.8,3595,Yes,No,2015-12-05,Yes
308,Shahi Diner,Delhi,Connaught Place,"South Indian, Chinese, Burgers",400,3.0,1509,Yes,No,2016-03-30,No
309,Ruchi Point,Jaipur,Raja Park,Rajasthani,150,4.9,4043,Yes,No,2018-03-03,Yes
310,Bhavan Kitchen,Chennai,Velachery,"Gujarati, Desserts",150,4.8,548,Yes,Yes,2022-03-22,Yes
311,Masala Garden,Lucknow,Indiranagar,"North Indian, Biryani, Continental",350,3.4,267,Yes,No,2015-01-13,Yes
312,Amantran Garden,Bhopal,Kolar Road,Chinese,350,4.1,778,Yes,No,2021-02-01,Yes
313,Grand Corner,Visakhapatnam,Steel Plant,"Desserts, Chettinad, Street Food",1000,3.9,1210,Yes,No,2019-03-12,Yes
314,Royal Diner,Bengaluru,Koramangala,"Gujarati, Chettinad",1000,2.5,4689,No,No,2015-02-23,Yes
315,Udupi Bites,Bengaluru,Jayanagar,"Fast Food, South Indian",300,5.0,4113,Yes,No,2022-10-19,Yes
316,Swagat Garden,Kolkata,Salt Lake,"Gujarati, Desserts",150,2.5,4030,No,No,2017-07-10,Yes
317,Spice House,Chandigarh,Sector 35,Desserts,200,3.7,3118,Yes,No,2015-02-15,Yes
318,Tandoor Bistro,Surat,Vesu,"Hyderabadi, Fast Food",800,2.7,1540,Yes,Yes,2017-01-22,Yes
319,Classic Bistro,Lucknow,Alambagh,North Indian,800,2.6,3465,Yes,No,2015-05-11,Yes
320,Ghar Ka Diner,Mumbai,Kurla,"Fast Food, Street Food, North Indian",200,2.7,3226,No,Yes,2016-09-12,Yes
321,Tandoor Point,Visakhapatnam,Dwaraka Nagar,"Burgers, Gujarati",1500,5.0,3705,Yes,No,2021-03-29,Yes
322,Swagat Diner,Bengaluru,Indiranagar,"Mughlai, Seafood",300,4.9,1978,No,No,2015-07-10,Yes
323,Desi Bites,Mumbai,Kurla,"Desserts, Kerala",200,3.1,3805,Yes,No,2017-02-03,No
324,Star Bites,Chennai,Anna Nagar,Chinese,250,3.1,4521,Yes,Yes,2018-11-11,Yes
325,Punjabi Corner,Kochi,Edapally,Desserts,1500,2.8,4702,No,No,2020-11-18,Yes
326,Punjabi Diner,Indore,Rajwada,Continental,500,3.0,3052,Yes,No,2020-08-22,No
327,Swagat Point,Bengaluru,Malleshwaram,"Rajasthani, Punjabi, Mughlai",1200,2.7,4564,Yes,No,2022-11-23,Yes
328,Biryani Bros House,Chandigarh,Sector 22,Hyderabadi,800,4.9,4175,No,Yes,2019-03-18,No
329,Grand Garden,Jaipur,C-Scheme,Continental,250,2.9,3915,Yes,Yes,2020-10-05,Yes
330,Masala Garden,Pune,Baner,"Italian, Street Food, Chettinad",250,2.6,736,Yes,No,2022-06-06,Yes
331,Maa Ki Cafe,Jaipur,Vaishali Nagar,"Kerala, Continental, Chinese",400,3.9,1617,Yes,No,2019-09-23,Yes
332,Royal House,Mumbai,Andheri,Fast Food,250,3.0,1084,Yes,No,2022-10-21,Yes
333,Classic Cafe,Nagpur,Wardha Road,"Continental, Street Food, Desserts",150,4.7,1080,Yes,No,2017-03-05,Yes
334,Rasoi Tadka,Delhi,Dwarka,North Indian,150,3.4,4883,Yes,No,2022-08-26,Yes
335,Udupi Bistro,Mysuru,Chamundi Hill,"Hyderabadi, Street Food, Italian",1000,2.6,1336,Yes,No,2015-10-18,Yes
336,Udupi Kitchen,Nagpur,Wardha Road,Gujarati,300,2.8,248,Yes,Yes,2020-12-14,No
337,Bhavan Tadka,Jaipur,Malviya Nagar,"Mughlai, Italian",200,4.5,1673,Yes,No,2021-05-13,Yes
338,Royal Express,Mumbai,Dadar,"Hyderabadi, Desserts",500,3.7,342,No,Yes,2019-09-07,Yes
339,Swagat Tadka,Chennai,Anna Nagar,"Desserts, South Indian",800,3.2,2096,Yes,No,2018-05-26,Yes
340,Udupi House,Mysuru,Hebbal,"Pizza, Biryani, Street Food",500,3.4,2486,No,Yes,2021-05-13,Yes
341,Classic Corner,Kolkata,Salt Lake,"Italian, Bengali",200,3.2,1213,Yes,Yes,2016-04-26,Yes
342,Ruchi Point,Chennai,Adyar,"Italian, Continental",700,4.6,331,No,No,2022-08-13,No
343,Star Diner,Hyderabad,Madhapur,Street Food,1200,2.7,4931,No,No,2018-06-28,Yes
344,Zaika Hub,Kolkata,Howrah,Pizza,250,4.7,481,Yes,No,2020-03-02,Yes
345,Rasoi House,Ahmedabad,Satellite,Street Food,200,4.3,3006,No,No,2015-11-14,Yes
346,Annapurna Bites,Indore,Palasia,"Seafood, Gujarati, Fast Food",400,4.5,3298,Yes,No,2020-08-07,Yes
347,Swaad Diner,Kolkata,Ballygunge,"Gujarati, Punjabi",500,3.5,4881,No,Yes,2018-01-14,Yes
348,Desi Restaurant,Kolkata,Ballygunge,Burgers,400,2.6,74,Yes,No,2018-03-15,Yes
349,New Point,Bhopal,MP Nagar,Seafood,250,3.3,3050,No,No,2021-09-06,Yes
350,Punjabi Hub,Mysuru,Jayalakshmipuram,Rajasthani,250,3.1,4831,Yes,No,2018-02-05,Yes
351,Star Garden,Surat,Adajan,Fast Food,700,4.0,2040,Yes,No,2022-04-19,Yes
352,Grand Garden,Lucknow,Alambagh,South Indian,800,3.5,3761,Yes,Yes,2020-01-29,Yes
353,Ruchi Bistro,Mumbai,Dadar,"Kerala, Desserts",250,4.8,660,Yes,No,2016-11-15,No
354,Star Palace,Mysuru,VV Mohalla,"Mughlai, Biryani",1000,3.2,1453,No,No,2019-01-25,Yes
355,Classic Eatery,Jaipur,C-Scheme,Continental,300,4.1,1350,Yes,No,2020-07-29,No
356,Grand Cafe,Kochi,Kakkanad,Rajasthani,600,2.8,3532,No,No,2020-03-10,Yes
357,Masala Bites,Kochi,Edapally,Continental,150,4.1,392,Yes,Yes,2018-02-15,Yes
358,Spice Express,Vadodara,Alkapuri,"Kerala, South Indian",150,4.8,3973,Yes,No,2015-05-29,Yes
359,Shahi Point,Bengaluru,Whitefield,"Biryani, Continental",150,4.0,1867,Yes,Yes,2019-10-09,Yes
360,Biryani Bros Corner,Bhopal,MP Nagar,Biryani,300,3.4,2843,Yes,No,2016-05-13,Yes
361,Shahi Dhaba,Bhopal,TT Nagar,"Mughlai, Gujarati, Punjabi",400,2.8,3069,Yes,No,2017-10-05,Yes
362,Shahi Cafe,Ahmedabad,Satellite,"Rajasthani, Street Food, Biryani",800,4.0,21,Yes,No,2020-11-08,Yes
363,Swaad Cafe,Ahmedabad,Vastrapur,Bengali,200,3.8,294,No,No,2019-10-15,Yes
364,Paradise Kitchen,Delhi,Rohini,"Mughlai, Seafood, Punjabi",1500,3.8,1307,Yes,No,2016-05-09,Yes
365,Biryani Bros Bistro,Hyderabad,Banjara Hills,Seafood,400,4.1,4545,Yes,No,2016-02-13,No
366,Golden Eatery,Pune,Hadapsar,"Bengali, Fast Food, Hyderabadi",1500,3.5,1650,Yes,No,2017-11-23,Yes
367,Masala House,Chennai,T Nagar,"Italian, Chettinad, Mughlai",700,2.5,879,Yes,No,2022-12-26,Yes
368,Swad Cafe,Indore,Rajwada,"Mughlai, Chettinad, Desserts",150,3.4,2775,Yes,No,2019-07-17,Yes
369,New Eatery,Surat,Vesu,Chinese,200,3.8,2234,No,No,2022-04-07,Yes
370,New Hub,Jaipur,Malviya Nagar,Punjabi,400,3.1,4588,Yes,Yes,2022-07-03,No
371,Spice Restaurant,Chandigarh,Sector 22,Seafood,500,4.2,4177,Yes,No,2016-12-15,Yes
372,New Eatery,Ahmedabad,Maninagar,"Desserts, Seafood, Chinese",1200,3.2,3910,Yes,No,2018-07-09,Yes
373,Golden Corner,Jaipur,Mansarovar,"Chinese, Desserts, Chettinad",1200,3.2,644,Yes,No,2019-10-20,Yes
374,Swagat Restaurant,Jaipur,Malviya Nagar,"Seafood, Gujarati, Biryani",400,3.6,4078,Yes,Yes,2021-08-17,Yes
375,Highway Cafe,Nagpur,Dharampeth,Fast Food,500,4.9,132,Yes,No,2016-11-22,Yes
376,Maa Ki Restaurant,Hyderabad,Jubilee Hills,Pizza,300,3.9,3532,No,No,2015-10-28,No
377,Udupi Kitchen,Coimbatore,Saibaba Colony,"Kerala, Punjabi, Biryani",250,3.6,3973,Yes,Yes,2015-10-31,No
378,Paradise Tadka,Pune,Viman Nagar,"North Indian, Rajasthani, Burgers",800,4.9,4390,No,No,2022-10-19,No
379,Swaad House,Kochi,Kakkanad,"Gujarati, Pizza, Biryani",800,2.7,3141,Yes,No,2016-04-17,Yes
380,Swad Point,Mumbai,Dadar,Street Food,250,2.6,1001,Yes,No,2016-05-25,Yes
381,Highway Tadka,Indore,Bhawarkuan,"Pizza, Gujarati",600,4.5,2337,No,Yes,2022-03-06,Yes
382,Saravana Bites,Mumbai,Andheri,"Pizza, Chettinad",1000,4.4,4076,No,No,2021-02-09,No
383,Paradise Garden,Mysuru,Gokulam,Bengali,500,4.7,3504,Yes,No,2017-04-04,Yes
384,Saravana Hub,Delhi,Connaught Place,"Burgers, Street Food",300,2.6,3173,Yes,No,2020-04-10,Yes
385,Paradise Bites,Visakhapatnam,MVP Colony,Continental,800,4.1,1135,No,Yes,2022-02-13,Yes
386,Amantran Express,Kolkata,Park Street,"Rajasthani, North Indian, Mughlai",400,2.8,4343,Yes,No,2019-02-16,Yes
387,Tandoor Hub,Kolkata,New Town,Burgers,350,4.8,4594,Yes,No,2021-11-20,Yes
388,Saravana Diner,Indore,Palasia,Pizza,1500,3.2,2403,Yes,No,2018-09-15,Yes
389,Bhavan Bistro,Bengaluru,Whitefield,"Gujarati, Chettinad",1500,4.0,2127,Yes,No,2017-09-28,Yes
390,Swagat Palace,Lucknow,Gomti Nagar,"Fast Food, North Indian",1500,4.2,4608,Yes,Yes,2020-11-23,Yes
391,Zaika Diner,Delhi,Rohini,Chettinad,1200,4.8,4725,Yes,Yes,2020-05-07,Yes
392,Spice Bites,Pune,Kothrud,South Indian,250,2.8,3931,Yes,No,2022-10-02,Yes
393,Annapurna House,Lucknow,Indiranagar,"Bengali, Desserts",600,4.5,1090,Yes,Yes,2018-10-11,Yes
394,Tandoor Palace,Mumbai,Bandra,"Bengali, Pizza, Seafood",250,4.3,1840,Yes,Yes,2015-09-20,Yes
395,Desi Bistro,Indore,Vijay Nagar,Rajasthani,500,4.7,4341,No,Yes,2018-09-27,Yes
396,Ruchi Eatery,Coimbatore,Peelamedu,Hyderabadi,1500,2.7,4709,Yes,Yes,2019-10-29,Yes
397,Tandoor House,Indore,Rajwada,"Burgers, Seafood",300,2.7,1835,Yes,Yes,2019-05-08,Yes
398,Masala Diner,Lucknow,Gomti Nagar,Italian,300,3.0,3757,Yes,Yes,2015-05-18,Yes
399,Ruchi Bistro,Kochi,Edapally,Pizza,1000,3.6,4756,No,No,2017-08-08,Yes
400,Royal Point,Vadodara,Alkapuri,"Italian, Gujarati, Fast Food",1500,4.0,420,Yes,No,2019-04-12,Yes
401,Grand Garden,Nagpur,Sadar,Rajasthani,300,5.0,2484,Yes,No,2017-12-15,Yes
402,Haveli Express,Chennai,T Nagar,Mughlai,700,4.0,2306,No,No,2016-10-25,Yes
403,Ghar Ka Point,Pune,Aundh,"Mughlai, Biryani, Gujarati",700,5.0,1925,Yes,Yes,2016-06-30,Yes
404,Udupi Bistro,Chennai,Adyar,Biryani,300,2.6,1626,Yes,No,2015-02-10,Yes
405,Maa Ki Bistro,Mysuru,VV Mohalla,"Bengali, Rajasthani, Desserts",600,4.6,1173,No,No,2015-02-13,No
406,Swaad Kitchen,Indore,Palasia,Fast Food,400,3.0,650,Yes,Yes,2022-03-13,No
407,New Eatery,Vadodara,Sama,Street Food,300,3.2,1089,Yes,Yes,2015-04-29,No
408,Golden Dhaba,Lucknow,Aliganj,Rajasthani,250,4.2,1094,Yes,Yes,2016-10-29,Yes
409,New Diner,Delhi,Dwarka,"Hyderabadi, Rajasthani",600,4.1,4066,Yes,No,2016-02-21,Yes
410,Highway Corner,Hyderabad,Madhapur,"South Indian, Seafood",1000,3.9,4407,No,Yes,2019-01-13,Yes
411,Dawat Restaurant,Chennai,Adyar,Italian,800,2.6,4801,Yes,No,2018-07-21,Yes
412,Amantran Palace,Vadodara,Sama,"Italian, Street Food, Punjabi",1000,3.0,4707,Yes,Yes,2017-10-17,Yes
413,Golden Kitchen,Chennai,Anna Nagar,Kerala,700,2.6,2849,No,No,2020-02-19,No
414,Star Restaurant,Delhi,Vasant Kunj,"South Indian, Punjabi",1200,2.6,1857,Yes,No,2018-04-08,Yes
415,Bhavan Palace,Coimbatore,Singanallur,"Desserts, Mughlai, Burgers",600,2.8,1447,Yes,No,2016-03-24,Yes
416,Swaad Bites,Jaipur,Vaishali Nagar,Mughlai,400,4.6,1235,Yes,Yes,2015-03-29,Yes
417,Swad Point,Pune,Aundh,"Fast Food, Gujarati, Seafood",300,4.4,22,Yes,Yes,2017-02-26,Yes
418,Paradise Dhaba,Lucknow,Alambagh,"Kerala, Chettinad",700,4.0,2718,Yes,No,2020-08-06,Yes
419,Shahi Dhaba,Mumbai,Borivali,"Chettinad, Seafood",1000,3.4,2575,Yes,No,2020-09-09,Yes
420,Bhavan Corner,Nagpur,Wardha Road,"Bengali, Biryani",800,4.4,3402,Yes,No,2016-10-17,Yes
421,Biryani Bros Point,Mysuru,Hebbal,Mughlai,800,2.9,3437,Yes,No,2019-01-09,Yes
422,Desi Cafe,Vadodara,Alkapuri,Desserts,1200,4.8,1246,Yes,Yes,2021-06-03,Yes
423,Masala Kitchen,Chandigarh,Sector 43,Gujarati,400,4.4,4774,No,Yes,2018-07-25,Yes
424,Swad Cafe,Ahmedabad,CG Road,"Bengali, Mughlai, Pizza",1500,4.9,360,No,No,2022-06-13,Yes
425,Bhavan Dhaba,Chandigarh,Sector 35,"Hyderabadi, Burgers, Continental",300,4.3,1837,Yes,Yes,2017-03-07,Yes
426,Classic Hub,Coimbatore,Singanallur,"Mughlai, Chinese, Gujarati",250,2.7,1426,Yes,No,2016-12-25,Yes
427,Amantran Express,Bhopal,MP Nagar,"Italian, Bengali, Hyderabadi",700,3.7,3298,Yes,Yes,2019-09-05,Yes
428,Dawat Point,Coimbatore,RS Puram,"Hyderabadi, Chettinad",500,3.3,2513,Yes,No,2015-08-28,Yes
429,Shahi Eatery,Delhi,Dwarka,"Kerala, Punjabi",400,3.8,3186,No,No,2017-09-28,Yes
430,Bhavan Diner,Lucknow,Hazratganj,"Italian, Biryani, Pizza",250,2.8,1164,No,Yes,2022-05-21,Yes
431,Shahi Dhaba,Bengaluru,Indiranagar,"Chinese, South Indian",250,4.0,4367,Yes,Yes,2018-03-10,Yes
432,Star Bistro,Nagpur,Itwari,Punjabi,600,2.9,3338,Yes,No,2021-11-24,No
433,Dawat House,Hyderabad,Jubilee Hills,Hyderabadi,150,3.0,3548,No,No,2015-03-23,Yes
434,Spice Kitchen,Pune,Hadapsar,Desserts,1200,2.9,2767,Yes,No,2017-03-16,Yes
435,Spice Point,Kolkata,Park Street,"South Indian, Burgers, Mughlai",300,4.7,1934,Yes,No,2018-01-11,No
436,New Corner,Pune,Aundh,"Gujarati, South Indian, Chettinad",500,3.8,3550,Yes,No,2020-01-22,Yes
437,Shahi House,Ahmedabad,Satellite,"Chettinad, Seafood, Biryani",600,3.5,692,Yes,No,2017-05-28,Yes
438,Shahi Tadka,Vadodara,Akota,"Continental, Street Food",700,3.3,900,Yes,Yes,2019-11-13,Yes
439,Highway Corner,Chennai,Nungambakkam,Street Food,250,2.7,4438,Yes,No,2021-10-29,Yes
440,Maa Ki Restaurant,Mysuru,Gokulam,"Punjabi, Burgers, North Indian",600,3.7,788,Yes,No,2019-07-22,Yes
441,Spice Bistro,Coimbatore,Gandhipuram,"Fast Food, Street Food, Chinese",250,3.7,3652,No,Yes,2021-12-19,Yes
442,Annapurna Diner,Bhopal,MP Nagar,"Hyderabadi, Street Food, Chettinad",350,3.4,4085,Yes,No,2022-10-08,Yes
443,Udupi Express,Chennai,Velachery,"Seafood, Hyderabadi, Chettinad",800,4.7,4718,Yes,Yes,2016-11-30,Yes
444,Tandoor Corner,Mysuru,Jayalakshmipuram,"Burgers, Street Food",350,4.2,83,No,No,2021-10-03,Yes
445,Classic Dhaba,Chennai,Nungambakkam,"Fast Food, Punjabi",1500,4.0,3475,Yes,Yes,2016-08-07,Yes
446,Udupi Eatery,Coimbatore,Singanallur,Hyderabadi,700,4.5,3756,Yes,No,2015-01-16,Yes
447,Annapurna Garden,Jaipur,Mansarovar,"Fast Food, Chinese",300,4.5,4139,Yes,Yes,2020-09-16,Yes
448,Tandoor Bites,Mysuru,Jayalakshmipuram,"Burgers, Biryani, Seafood",700,4.5,885,No,No,2021-07-09,No
449,Rasoi Garden,Vadodara,Alkapuri,"North Indian, Mughlai",1000,3.8,3241,Yes,No,2022-06-08,Yes
450,Shahi Tadka,Hyderabad,Banjara Hills,Rajasthani,500,3.5,4539,Yes,Yes,2015-06-10,No
451,Haveli Palace,Pune,Hinjewadi,"Kerala, Continental",150,3.9,4430,Yes,No,2017-06-26,Yes
452,Tandoor Hub,Chandigarh,Sector 43,"Chettinad, Punjabi, Fast Food",700,3.4,1947,Yes,Yes,2016-03-10,Yes
453,Royal Dhaba,Indore,Vijay Nagar,South Indian,400,4.3,3313,Yes,No,2022-08-15,No
454,Spice Express,Indore,AB Road,"Pizza, Continental",350,4.4,1579,No,No,2021-04-04,Yes
455,Swagat Kitchen,Kochi,Thrippunithura,"Punjabi, North Indian, Continental",600,2.9,296,Yes,Yes,2020-12-14,Yes
456,Grand Bistro,Kochi,Kakkanad,Street Food,350,3.3,2074,Yes,No,2018-01-16,No
457,Biryani Bros Palace,Delhi,Dwarka,"Burgers, Bengali, Hyderabadi",400,2.9,326,No,Yes,2019-06-30,Yes
458,Star Express,Hyderabad,Hitech City,"Chettinad, Bengali, Punjabi",400,4.8,1470,Yes,Yes,2016-07-14,Yes
459,Zaika Hub,Visakhapatnam,Dwaraka Nagar,Pizza,1500,2.6,4097,Yes,No,2019-12-06,Yes
460,Tandoor Point,Lucknow,Indiranagar,"Chettinad, Street Food",500,3.3,799,Yes,No,2021-09-26,Yes
461,Biryani Bros Restaurant,Chandigarh,Sector 17,Pizza,1200,3.4,842,Yes,No,2018-09-26,No
462,Maa Ki Hub,Delhi,Connaught Place,"Italian, Mughlai",200,4.8,3879,Yes,No,2016-01-10,Yes
